bagus	B-SENTIMENT
,	O
sesuai	O
dengan	O
ekspektasi	O
dan	O
dekat	O
banget	O
dengan	O
mesjid	O
,	O
rekomen	B-SENTIMENT
deh	O
.	O

bersih	B-SENTIMENT
,	O
bagus	B-SENTIMENT
,	O
ramah	B-SENTIMENT
,	O
cari	O
makanan	O
dekat	O
,	O
banyak	O
cafe	O
sekitar	O
hotel	O
.	O
di	O
hotelnya	O
pun	O
ada	O
cafe	O
sendiri	O
.	O
terimakasih	O
hazotel	O
,	O
terimakasih	O
airy	O
,	O
terimakasih	O
local	O
guide	O
.	O

tempat	B-ASPECT
nyaman	B-SENTIMENT
untuk	O
beristirahat	O
,	O
namun	O
perlengkapan	B-ASPECT
mandi	I-ASPECT
yang	O
ada	O
tidak	B-SENTIMENT
lengkap	I-SENTIMENT
,	O
hanya	O
ada	O
sabun	O
dan	O
sampo	O
.	O

oke	B-SENTIMENT
.	O

kamar	B-ASPECT
cukup	B-SENTIMENT
bersih	I-SENTIMENT
,	O
tetapi	O
banyak	B-SENTIMENT
nyamuk	I-SENTIMENT
dan	O
penerangan	B-ASPECT
sangat	B-SENTIMENT
kurang	I-SENTIMENT
.	O

penginapan	B-ASPECT
yang	O
luar	B-SENTIMENT
biasa	I-SENTIMENT
.	O
bersih	B-SENTIMENT
,	O
luas	B-SENTIMENT
dan	O
harganya	B-ASPECT
murah	B-SENTIMENT
.	O

fasilitas	B-ASPECT
lengkap	B-SENTIMENT
harga	B-ASPECT
hemat	B-SENTIMENT
.	O

hotelnya	B-ASPECT
bersih	B-SENTIMENT
dan	O
nyaman	B-SENTIMENT
.	O
tetapi	O
menyediakan	O
satu	B-SENTIMENT
handuk	B-ASPECT
padahal	O
yang	O
menginap	O
dua	O
orang	O
.	O
tetapi	O
saran	O
disediakan	O
telepon	O
untuk	O
menghubungi	O
resepsionis	O
dan	O
memudahkan	O
untuk	O
check	O
out	O
.	O

hotelnya	B-ASPECT
bagus	B-SENTIMENT
,	O
pelayanan	B-ASPECT
oke	B-SENTIMENT
,	O
dekat	O
dengan	O
fasilitas	O
umum	O
.	O
terimakasih	O
.	O

suasana	B-ASPECT
enak	B-SENTIMENT
,	O
hotel	O
nuansa	O
jawa	O
banget	O
atau	O
klasik	O
.	O
kamar	B-ASPECT
besar	B-SENTIMENT
nyaman	B-SENTIMENT
.	O
satu	O
hal	O
yang	O
buat	O
kurang	O
.	O
hotel	O
kalau	O
tidak	O
ada	O
tamu	O
jadi	O
sepi	O
banget	O
,	O
nek	O
malam	O
jadi	O
seram	O
.	O
pos	B-ASPECT
satuan	I-ASPECT
pengamanan	I-ASPECT
gelap	B-SENTIMENT
.	O
resto	B-ASPECT
gelap	B-SENTIMENT
,	O
resepsionis	B-ASPECT
sendiri	B-SENTIMENT
.	O
pas	O
pagi	O
pun	O
resepsionis	O
masih	O
sendiri	O
,	O
masakin	O
sarapan	O
terus	O
balik	O
jaga	O
front	O
office	O
.	O

semuanya	B-ASPECT
memuaskan	B-SENTIMENT
hanya	O
saja	O
ac	B-ASPECT
kamar	I-ASPECT
203	O
tidak	B-SENTIMENT
dingin	I-SENTIMENT
dan	O
kamar	B-ASPECT
mandinya	I-ASPECT
sedikit	B-SENTIMENT
berbau	I-SENTIMENT
.	O

cukup	B-SENTIMENT
nyaman	I-SENTIMENT
.	O
sayangnya	O
shower	B-ASPECT
tidak	B-SENTIMENT
mengalir	I-SENTIMENT
dengan	I-SENTIMENT
lancar	I-SENTIMENT
,	O
terpaksa	O
mandi	O
menggunakan	O
keran	O
air	O
.	O

beberapa	O
kali	O
menginap	O
di	O
hotel	O
ini	O
karena	O
suka	B-SENTIMENT
seprai	B-ASPECT
dan	O
selimutnya	B-ASPECT
yang	O
baru	O
putih	O
bersih	B-SENTIMENT
dan	O
tebal	B-SENTIMENT
,	O
dinding	O
wrn	O
biru	O
yang	O
menyenangkan	O
,	O
ac	B-ASPECT
juga	O
dingin	B-SENTIMENT
,	O
bed	B-ASPECT
kayu	O
juga	O
bagus	B-SENTIMENT
,	O
kamar	B-ASPECT
mandi	I-ASPECT
luas	B-SENTIMENT
sayangnya	O
bed	B-ASPECT
nya	I-ASPECT
berdecit	B-SENTIMENT
it	O
yang	O
suami	O
saya	O
tidak	O
suka	O
dan	O
milih	O
menginap	O
di	O
tempat	O
lain	O
,	O
pengaturan	B-ASPECT
water	I-ASPECT
hiternya	I-ASPECT
tolong	B-SENTIMENT
diperhatikan	I-SENTIMENT
,	O
kemarin	O
kami	O
harus	O
naiknaik	O
sndri	O
untuk	O
mengatur	O
.	O
dan	O
untuk	O
menginap	O
lebih	O
dari	O
1	O
hari	O
tolong	O
kelengkapan	B-ASPECT
kamar	I-ASPECT
diperhatikan	B-SENTIMENT
,	O
toiletrisnya	O
di	O
tambah	O
masa	O
harus	O
pakai	O
yang	O
kemarin	O
.	O

pelayanannya	B-ASPECT
super	B-SENTIMENT
ramah	I-SENTIMENT
,	O
hanya	O
kamar	B-ASPECT
mandi	I-ASPECT
sedikit	B-SENTIMENT
kurang	I-SENTIMENT
bersih	I-SENTIMENT
,	O
kalau	O
kamar	B-ASPECT
oke	B-SENTIMENT
,	O
besar	B-SENTIMENT
dan	O
bersih	B-SENTIMENT
,	O
recommended	B-SENTIMENT
.	O

good	B-SENTIMENT
enak	B-SENTIMENT
unch	O
gratisannya	O
lagi	O
dong	O
.	O

strategis	B-SENTIMENT
.	O
sayang	O
kebersihan	B-ASPECT
tempat	I-ASPECT
tidur	I-ASPECT
kurang	B-SENTIMENT
.	O
selebihnya	B-ASPECT
sesuai	B-SENTIMENT
harga	O
.	O

baik	B-SENTIMENT
dan	O
puas	B-SENTIMENT
tetapi	O
masih	O
ada	O
kekurangannya	O
waktu	O
saya	O
boking	O
airy	O
rooms	O
saya	O
pilih	O
1	O
bad	O
tetapi	O
ketika	O
saya	O
cek	O
in	O
yang	O
di	O
kasih	O
2	O
bad	O
.	O
mohon	O
di	O
tingkatkan	O
lagi	O
.	O
terima	O
kasih	O
airy	O
rooma	O
.	O

pelayanannya	B-ASPECT
ramah	B-SENTIMENT
,	O
tempatnya	B-ASPECT
nyaman	B-SENTIMENT
dan	O
kamar	B-ASPECT
mandinya	I-ASPECT
bersih	B-SENTIMENT
.	O

sangat	B-SENTIMENT
baik	I-SENTIMENT
.	O

pelayanan	B-ASPECT
oke	B-SENTIMENT
.	O

bagus	B-SENTIMENT
tetapi	O
kamar	B-ASPECT
mandi	I-ASPECT
masih	O
kurang	B-SENTIMENT
oke	I-SENTIMENT
.	O

sarapan	O
yang	O
sama	O
selama	O
2	O
hari	O
.	O
petugasnya	B-ASPECT
baik	B-SENTIMENT
ramah	B-SENTIMENT
.	O

nyaman	B-SENTIMENT
dan	O
bersih	B-SENTIMENT
.	O

waktu	O
menginap	O
tidak	B-SENTIMENT
dapat	I-SENTIMENT
handuknya	B-ASPECT
.	O

lumayan	B-SENTIMENT
depan	O
kolam	O
renang	O
,	O
ac	B-ASPECT
dingin	B-SENTIMENT
,	O
.	O

posisi	O
kamar	O
lantai	O
4	O
dan	O
naik	O
pakai	O
tangga	O
,	O
kondisi	O
badan	O
sedang	O
lelah	O
apalagi	O
turun	O
dari	O
pesawat	O
yang	O
delay	O
.	O

sebenarnya	O
menyenangkan	O
pemandangan	B-ASPECT
indah	B-SENTIMENT
,	O
tetaoi	O
kurang	B-SENTIMENT
terawat	I-SENTIMENT
dan	O
sewaktu	O
saya	O
datang	O
lantai	B-ASPECT
menuju	O
kamar	O
masih	O
sangat	B-SENTIMENT
kotor	I-SENTIMENT
.	O

saya	O
baru	O
pertama	O
kali	O
pakai	O
airy	O
room	O
dan	O
agak	B-SENTIMENT
kecewa	I-SENTIMENT
sekali	I-SENTIMENT
,	O
tolong	O
iya	O
mbak	B-ASPECT
nya	I-ASPECT
gausah	B-SENTIMENT
galak	I-SENTIMENT
begitu	I-SENTIMENT
,	O
pelayanannya	B-ASPECT
kurang	B-SENTIMENT
baik	I-SENTIMENT
.	O

bagus	B-SENTIMENT
bersih	B-SENTIMENT
nyaman	B-SENTIMENT
,	O
cuma	O
tempat	B-ASPECT
terlalu	B-SENTIMENT
kedalam	I-SENTIMENT
.	O

bau	B-ASPECT
toilet	I-ASPECT
menyengat	B-SENTIMENT
,	O
sampai	O
tercium	O
saat	O
tidur	O
.	O

sangat	B-SENTIMENT
bagus	I-SENTIMENT
dan	O
bersih	B-SENTIMENT
seperti	O
di	O
gambar	O
.	O

lumayan	B-SENTIMENT
untuk	O
ukuran	O
backpacker	O
.	O

free	B-ASPECT
snack	B-ASPECT
+	O
sabun	B-ASPECT
/	O
sampo	B-ASPECT
airy	O
tidak	B-SENTIMENT
ada	I-SENTIMENT
.	O
ac	B-ASPECT
nya	I-ASPECT
juga	O
bocor	B-SENTIMENT
air	O
nya	O
keluar	O
di	O
dalam	O
ruangan	O
.	O
semoga	O
di	O
perbaiki	O
tempat	O
dan	O
kinerjanya	O
dimana	O
hak	O
buat	O
konsumen	O
.	O

bagus	B-SENTIMENT
.	O
tetapi	O
tidak	O
ada	O
sinyal	O
di	O
dalam	O
kamar	O
.	O
wifi	B-ASPECT
juga	O
tidak	B-SENTIMENT
sampai	I-SENTIMENT
.	O
tetapi	O
nyaman	B-SENTIMENT
.	O
pelayanan	B-ASPECT
cukup	B-SENTIMENT
.	O

terlalu	B-SENTIMENT
seram	I-SENTIMENT
dan	O
resepsionis	B-ASPECT
tidak	B-SENTIMENT
tanggap	I-SENTIMENT
,	O
ditelepon	O
tidak	O
pernah	O
diangkat	O
.	O

plastik	O
bed	O
dilepas	O
biar	O
tidak	O
bunyi	O
.	O

kamar	B-ASPECT
bersih	B-SENTIMENT
proses	B-ASPECT
cek	I-ASPECT
in	I-ASPECT
cepat	B-SENTIMENT
cuma	O
tolong	B-SENTIMENT
di	I-SENTIMENT
perhatikan	I-SENTIMENT
wcx	B-ASPECT
,	O
agak	B-SENTIMENT
berbau	I-SENTIMENT
untuk	O
keluruhan	B-ASPECT
oke	B-SENTIMENT
.	O

pelayanan	B-ASPECT
bagus	B-SENTIMENT
.	O
terimakasih	O
airy	O
!	O

sedih	O
wifi	B-ASPECT
sama	O
tv	B-ASPECT
tidak	B-SENTIMENT
bisa	I-SENTIMENT
.	O
terus	O
kamar	B-ASPECT
mandi	I-ASPECT
kurang	B-SENTIMENT
bersih	I-SENTIMENT
.	O
cuma	O
untuk	O
harga	O
segitu	O
itu	O
sudah	O
baik	O
lah	O
iya	O
.	O

air	B-ASPECT
panasnya	I-ASPECT
tidak	B-SENTIMENT
berfungsi	I-SENTIMENT
.	O

pelayanan	B-ASPECT
sangat	B-SENTIMENT
baik	I-SENTIMENT
.	O

kamar	B-ASPECT
besar	B-SENTIMENT
cuma	O
minusnya	O
ac	B-ASPECT
kurang	B-SENTIMENT
dingin	I-SENTIMENT
dan	O
layanan	B-ASPECT
tv	I-ASPECT
nya	I-ASPECT
kurang	B-SENTIMENT
bagus	I-SENTIMENT
.	O

wifinya	O
.	O

nyaman	B-SENTIMENT
dan	O
bersih	B-SENTIMENT
.	O

nyaman	B-SENTIMENT
dan	O
tenang	B-SENTIMENT
.	O

tempatnya	B-ASPECT
nyaman	B-SENTIMENT
,	O
